"dateonly","timeonly","DATE","CALLSIGN","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","REMARKS","MORID.CEDAR","FACILITY.CEDAR","UTCTIME.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR"
2018-01-04,"05:00","2018-01-04T05:00Z","ASA918","DEN","UAS",NA,"WOC","W-ROC reports aircraft reported a white UAS at 2,500 feet off the right side while NNW bound at the same altitude on final to RWY 34R. No evasive action taken. Local LEO notified by 911. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-04,"08:31","2018-01-04T08:31Z","REH9","DEN","UAS",NA,"SAN","Reported a red and white UAS passed helicopter at 2,400 FT over Lake Murray 5 E of MYF. No evasive action taken. LEO notification not reported. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-04,"10:50","2018-01-04T10:50Z",NA,"DEN","UAS",NA,"SHV","ATCT personnel reported observing a large UAS with red, green, and yellow lights hovering at 2,000 and 4,000 feet, 1 mile SW of Shreveport. Shreveport PD notified at.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-05,"11:35","2018-01-05T11:35Z","SKW3019","DEN","UAS",NA,"TUS","Aircrew reported observing a light from a UAS, 200 feet off of his right wing operating in the area of the W ramp to RWY 11R while on final.No evasive action taken. Tucson LEO aircraft on the frequency and in the area SRVY1 and AIRE1 conducted a search, but did not locate the UAS operator. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-06,"01:56","2018-01-06T01:56Z","N1671C","DEN","UAS",NA,"IWA","Aircraft reported UAS activity while entering pattern at 2,700 feet 3 NM SW of IWA. No evasive action reported. Mesa Police notified. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-06,"09:13","2018-01-06T09:13Z","N31197","DEN","UAS",NA,"TUL","Reported observing a UAS operating over downtown Tulsa. The UAS came within 1 mile of the aircraft. No evasive action taken. The incident was not reported to LEO. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-08,"04:41","2018-01-08T04:41Z",NA,"DEN","UAS",NA,"WOC","UAS crashed in the vicinity of Harvard Coliseum.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-09,"21:09","2018-01-09T21:09Z","JBU1145","DEN","UAS",NA,"FLL","Reported a 4-rotor UAS 10 NW of FLL at 2,500 feet. No evasive action reported. LEO notified UNKN.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-10,"05:06","2018-01-10T05:06Z","ALAMO03","NCRCC","UAS",NA,"SAT","Reported a red quad-copter UAS 2 feet in diameter 200 feet below the aircraft altitude of 3,000 feet while on a 10 mile final to runway 16 at Lackland AFB. No evasive action taken. San Antonio PD notified at7. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,"06:44","2018-01-11T06:44Z","N361PE","DEN","UAS",NA,"RSW","Aircraft at 3,000 feet reported a red blinking UAS hovering at 2,500 feet. No evasive action taken. Lee County Sheriff notified at.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
