"dateonly","timeonly","DATE","CALLSIGN","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","REMARKS","MORID.CEDAR","FACILITY.CEDAR","UTCTIME.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR","UASLOCATION","DATASET","RWYLOCATION"
2018-01-01,"00:58","2018-01-01T00:58Z","JBU351","DEN","UAS",NA,"ZNY","Aircraft reported a UAS off the left side, 3 NM NE of CRI VOR while southbound at 2,000 feet. No evasive action taken. NYPD Aviation Unit Notified at 718-692-1220. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 NM NE of CRI","NAVAID",NA
2018-01-06,"04:39","2018-01-06T04:39Z","N738UT","DEN","UAS",NA,"ZMA","Aircraft reported a UAS with red lights pass 500 feet below them heading S bound at 7,000 feet 3 NM NW of TRV vortac. No evasive action taken. Vero Beach Sheriff notified at 772-978-6240.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 NM NW of TRV","NAVAID",NA
2018-03-19,"03:19","2018-03-19T03:19Z","UJC609","DEN","UAS",NA,"ZDC","Aircraft reported a UAS pass 200 feet below aircraft while W bound at 8,000 feet 15 NM N of ENO VOR. No evasive action taken. Cumberland County PD notified at 856-451-4449.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15 NM N of ENO","NAVAID",NA
2018-03-24,"01:01","2018-03-24T01:01Z","UJC702","DEN","UAS",NA,"ACY","Reported observing a large white UAS operating 1,000 feet below while at 8,000 feet near SIE VOR. No evasive action taken. Unknown if LEO was notified. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SIE VOR","NAVAID",NA
2018-05-03,"03:38","2018-05-03T03:38Z","N11DG","DEN","UAS",NA,"N90","Aircraft observed a UAS 8 NM N of SBJ VOR. No descriptionprovided. No evasive action required. NJState Police notified at 609-963-6817.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 NM N of SBJ","NAVAID",NA
2018-05-06,"03:14","2018-05-06T03:14Z","N7609W","DEN","UAS",NA,"MCI","Aircraft observed a large UAS 2-5 NM away at his 3 o'clock position while N bound at 6,200 feet 21NM SW ANX VOR. No evasive action was taken. LEO notification was not reported. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21NM SW of ANX","NAVAID",NA
2018-07-01,"02:06","2018-07-01T02:06Z","N49KJ","DEN","UAS",NA,"MKG","Aircraft reporteda gold UAS northbound 250 feet below while operating at 5,500 in the vicinity of MSG VOR. No evasive action taken. Muskegon County Sheriff notified 231-722-3524. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MSG VOR","NAVAID",NA
2018-07-13,"21:25","2018-07-13T21:25Z","N9303P","DEN","UAS",NA,"ZSE","Aircraft reported an orange quad copter UAS 3 to 4 in diameter 20 feet off the right side while S bound at 9,500 feet 26 miles S LTJ VOR. No evasive action reported. Klickitat County Sherriff notified 509-773-4547. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26 miles S of LTJ","NAVAID",NA
2018-07-28,"03:05","2018-07-28T03:05Z","N400LD","DEN","UAS",NA,"AUS","Reported a UAS 1,000 feet below aircraft off right side while northwest bound at 7,000 22 west of CWK VOR, Austin, TX. No evasive action taken. Lakeway PD notified at 512-261-6560.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22 W of CWK","NAVAID",NA
2018-07-28,"21:48","2018-07-28T21:48Z","DCM6145","DEN","UAS",NA,"D21","PIC reported a silver UAS passed 10FT off left wing at same altitude while E bound at 9,000FT 25NM NE DTW VOR. No evasive action reported. Troy PD at 248-524-3477.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25NM NE of DTW","NAVAID",NA
2018-08-04,"23:46","2018-08-04T23:46Z","RDDL431","DEN","UAS",NA,"DAB","Aircraft reported 3 UAS 100 feet away while S bound at 1,500 feet, 3 NM N of OMN VOR.No evasive action taken. Volusia County Sheriff notified at 386-736-5961.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 NM N of OMN","NAVAID",NA
2018-08-10,"18:03","2018-08-10T18:03Z","UAL605","DEN","UAS",NA,"DCA","PIC reported a silver and white UAS 2,000FT below Aircraft off the left side while at 12,000FT VCNTY ARMEL VOR. No evasive action taken. Loudoun County PD notified. No additional information provided.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARMEL VOR","NAVAID",NA
2018-12-01,"20:53","2018-12-01T20:53Z","N322DP","DEN","UAS",NA,"N90","Pilot reported a UAS at 12 o'clock position while NE boundat 3,000 feet 10NM E of SBJ VOR.No description of UAS provided. No evasive action reported. NJPD notified at 732-441-4500. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10NM E of SBJ","NAVAID",NA
2018-12-05,"20:36","2018-12-05T20:36Z","SWA1371","DEN","UAS",NA,"N90","Pilot reported a red UAS heading E boundwhile WSW boundat 16,500 feet 5NM SE of BWZ VOR. No evasive action taken. NJ State PDAviation Division notified. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5NM SE of BWZ","NAVAID",NA
2018-12-12,"22:23","2018-12-12T22:23Z","R51271","DEN","UAS",NA,"DHN","Pilot reported a largesilver UAS at 1,300 feet near RRS VOR while on left base for RWY32. No evasive action reported. LEO notification not reported. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RRS VOR","RUNWAY","RWY 32"
2019-01-07,"23:32","2019-01-07T23:32Z",NA,"DEN","UAS",NA,"LWB","Individual Thomas Scott Virginia DL# A60422836 of 151 Country Meadows Lane Lewisburg, WVflew a white drone in close proximity to Greenbrier Valley Airport, lost control of the drone and it landed on airport property within 90 feet of the LWB VOR and settled to the ground inside the airport fence. No other aircraft were involved and Mr. Scott called the airport FBO and reported that he had lost his drone on airport property. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LWB VOR","NAVAID",NA
2019-01-18,"08:14","2019-01-18T08:14Z","TALON504","DEN","UAS",NA,"NUW","Aircraft reported a UAS while SE bound at 1,000 feet 6NM E of CVV VOR while on final to RWY 14. No evasive action taken. Island City Sheriff notified at 360-679-9567. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6NM E of CVV","RUNWAY","RWY 14"
2019-01-27,"23:10","2019-01-27T23:10Z","N21SH","DEN","UAS",NA,"SCT","PIC reported UAS 300Ft below at 6000FT 7NM S of ELB (El Toro VOR). Unable to provide any details. Unable to reach law enforcement. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7NM S of ELB","NAVAID",NA
