"dateonly","timeonly","DATE","CALLSIGN","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","REMARKS","MORID.CEDAR","FACILITY.CEDAR","UTCTIME.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR"
2018-01-04,"05:00","2018-01-04T05:00Z","ASA918","DEN","UAS",NA,"WOC","W-ROC reports aircraft reported a white UAS at 2,500 feet off the right side while NNW bound at the same altitude on final to RWY 34R. No evasive action taken. Local LEO notified by 911. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-05,"11:35","2018-01-05T11:35Z","SKW3019","DEN","UAS",NA,"TUS","Aircrew reported observing a light from a UAS, 200 feet off of his right wing operating in the area of the W ramp to RWY 11R while on final.No evasive action taken. Tucson LEO aircraft on the frequency and in the area SRVY1 and AIRE1 conducted a search, but did not locate the UAS operator. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-06,"03:28","2018-01-06T03:28Z","AAL1299","DEN","UAS",NA,"MIA","Aircraft reported a red UAS while entering downwind for RWY 9 at 4,800 feet 3 NM S of MIA. No evasive action reported. Miami Dade Police notified at 305-463-6400. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-08,"02:42","2018-01-08T02:42Z","MSQT726","DEN","UAS",NA,"DVT","Aircraft reported a UASmaneuvering 300 feet below them as they were ondownwind for RWY 7R at 2,500 feet, 1 NM S DVT. No evasive action taken. UNKN if LEO was notified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-13,"12:04","2018-01-13T12:04Z","SWA1158 ","DEN","UAS",NA,"SJC","Aircraft observed a UAS 100 feet above the Aircraft off the left side at 1,000 feet while on a 2 NM final to RWY 30. No evasive action was taken. San Jose PD notified at 408-277-8911.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-19,"03:45","2018-01-19T03:45Z","MANU12","DEN","UAS",NA,"HNL","Aircraft reported a black UAS fly over their Aircraft after departing RWY 8R climbing to 5,000 feet VCNTY HNL. UNKN if evasive action taken. LEO not notified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-25,"06:22","2018-01-25T06:22Z","N4187U","DEN","UAS",NA,"SJU","Aircraft observed an UAS at 200 feet above the aircraft while on final to RWY 8. No evasive action taken. San Juan PD notified 787-791-2230. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-26,"04:45","2018-01-26T04:45Z",NA,"DEN","UAS",NA,"GEG","GEG ATCT noticed a person parked at the approach end of the runway operating an UAS near the approach lights for RWY 21.No Aircraft were involved. GEG Airport Police notified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-26,"09:59","2018-01-26T09:59Z","N144RU","DEN","UAS",NA,"BJC","UAS over flew Aircraft while taxiing for departure RWY 12L, UAS disappeared towards Flatirons Mall. Broomfield PD notified at 303-438-6400.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-27,"04:45","2018-01-27T04:45Z","ASH6226","DEN","UAS",NA,"TUL","Aircraft reported a UAS with red and blue flashing lights off the right side at 1,600 feet, on a 3 to 5 NM final to RWY 18L at TUL. No evasive action taken. TUL Airport PD notified at 918-838-5030. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-27,"23:52","2018-01-27T23:52Z","ANZ6","DEN","UAS",NA,"LAX","Aircraft reported a white and orange UAS pass 200 feet in front of aircraft while WSW bound at 2,400 feet on a 6 NM final to RWY 24R. No evasive action taken. LAX Airport Operations notified at 310-646-4265. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-28,"07:53","2018-01-28T07:53Z","N310CE","DEN","UAS",NA,"LAS","Reported a red and green UAS at 2,900 feet off the right side of the aircraft while on a 3 NM final to RWY 12R. No evasive action taken. LEO notification not reported.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-29,"04:55","2018-01-29T04:55Z","N63366","DEN","UAS",NA,"LAF","Aircraft observed a UAS off his right side at 200 FT while on finalapproach to RWY 23. No evasive action taken. LEO not notified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-30,"10:11","2018-01-30T10:11Z","NKS787","DEN","UAS",NA,"SAN","Reported a UAS .25 NM N of their position while on a 1 NM final to RWY 27 at 300 feet. No evasive action taken. Local LEO notified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-31,"01:57","2018-01-31T01:57Z","N116JS","DEN","UAS",NA,"PDX","Aircraft reported a UAS at 1,100 feet while on a 4 NM final to RWY 28R. No evasive action taken. UNKN if LEO called.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-01,"06:11","2018-02-01T06:11Z","JIA5142","DEN","UAS",NA,"CLT","Aircraft observed a red and white UAS at 1,000 feet between RWY 18L and RWY 18C on final approach course. No evasive action was taken. Local PD notified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-03,"23:07","2018-02-03T23:07Z","UAL206","DEN","UAS",NA,"F11","Aircraft reported a white UAS on left base to RWY 36L at3,000 FT. No evasive action reported. Osceola Co. PD notified at 321-697-4444.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-04,"02:46","2018-02-04T02:46Z","RPA5988","DEN","UAS",NA,"LGA","Aircraft observed a red UAS off the left side while SW bound at 1,900 feet on final to RWY 22 7 NM NE of LGA. No evasive action was taken. New York PD Aviation Unit was notified at 718-692-1220.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
