"index","REMARKS","UAS_LOC","IDENT","LONGITUDE","LATITUDE","NAME_TXT","dateonly","timeonly","DATE","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","FACILITY.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","METAR.CEDAR","POTENTIALLYSIGNIFICANT.CEDAR","IFRIVR.CEDAR","AUTHCERT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASREGISTRATIONNUM.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","UASFORMATION.CEDAR","CLOSESTPROXIMITY.CEDAR","UASWEIGHTGT55.CEDAR","UASDIM.CEDAR","UASFWROTOR.CEDAR","PILOTREPORTEDNMAC.CEDAR","TCASRA.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR","UASLOCATION","DATASET","RWYLOCATION","waypoint_lat","waypoint_long"
30,"Aircraft reported a UAS with red lights at 2,300 feet, 6 NM S of RWY 35C at END. No evasive action reported. LEO notification not reported.","['6 NM S of RWY']","RWY",NA,NA,NA,"2/8/2018","3:54","2018-02-08T03:54Z","DEN","UAS",NA,"END",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 NM S of END","AIRPORT/RUNWAY","RWY 35",NA,NA
31,"Aircraft reported a UAS 200 feet above their Aircraft while NNE bound1NM NNEof RWY20R. No evasive action taken. Huntington Beach PD HELO notified on frequency. ","['1NM NNEof RWY']","RWY",NA,NA,NA,"2/9/2018","1:02","2018-02-09T01:02Z","DEN","UAS",NA,"SNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 NM NNE of SNA","AIRPORT/RUNWAY","RWY 20R",NA,NA
32,"Aircraft reported a reflective black UAS off it's right side,samealtitude, at 3,000FT, 3 NM N of EKY. No evasive action taken. Jefferson County Sheriff notified at 202-325-1450.","['3 NM N of BEQ']","BEQ",NA,NA,NA,"3/23/2018","4:28","2018-03-23T04:28Z","DEN","UAS",NA,"BHM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 NM N of EKY","AIRPORT",NA,NA,NA
0,"Phoenix PD advised a concerned citizen notified them of 2 UAS' 3-4NM W of RWY8, in the vicinity of 4th and 5th Ave, intersection of Fillmore Ave. The citizen felt the UAS' were getting too close to Aircraft on final. PHX queried several arriving Aircraft, none of the  Aircraft observed any UAS activity. ROC notified.1355UPDATE: PHX advised SWA2158 reportedUAS pass 700 feet above Aircraft while E bound on final to RWY8. Phoenix PD was notified at 602-262-6151, they are investigating. PHX ATCT is advising Aircraft of the UAS activity.","['4NM W of RWY']","RWY",NA,NA,NA,"3/28/2018","18:42","2018-03-28T18:42Z","DEN","UAS","MOR, PAGED","PHX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-4 NM W of PHX","AIRPORT/RUNWAY","RWY 08",NA,NA
33,"Aircraft reported a quad copter UAS while 3NM SW of RWY 31L at HIO. No evasive action reported. LEO notification not reported.","['3NM SW of RWY']","RWY",NA,NA,NA,"5/6/2018","4:04","2018-05-06T04:04Z","DEN","UAS",NA,"HIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 NM SW of HIO","AIRPORT/RUNWAY","RWY 31L",NA,NA
34,"Aircraft reported a small UAS 4 NM SW of RWY19R at LAS. No evasive action. Aircraft conducting search. ","['4 NM SW of RWY']","RWY",NA,NA,NA,"3/2/2019","6:57","2019-03-02T06:57Z","DEN","UAS",NA,"L30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 NM SW of L30","AIRPORT/RUNWAY","RWY 19R",NA,NA
1,"Aircraft observed a UAS passing off the left side while SSE bound at 5.500 feet 2.5 NM NNW of TCH VORTAC. No evasive action was taken. Salt Lake City PD notified at 801-575-2401.","['5 NM NNW of WASA']","WASA",NA,NA,NA,"7/22/2019","19:57","2019-07-22T19:57Z","DEN","UAS",NA,"SLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.5 NM NNW of TCH","NAVAID",NA,NA,NA
3,"Aircraft observed a black UAS off the while E bound at 3,500 feet 5NM W of RWY 08 final. No evasive action was taken. Airport 911 notified.","['5NM W of RWY']","RWY",NA,NA,NA,"9/21/2019","18:12","2019-09-21T18:12Z","DEN","UAS",NA,"ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 NM W of ATL","AIRPORT/RUNWAY","RWY 08",NA,NA
4,"Aircraft observed a UAS at same altitude of 7,000 feet while SE bound 7 NM SE of CFO. No evasive action was taken. LEO notification unreported. ","['7 NM SE of FTG']","FTG",NA,NA,NA,"10/8/2019","16:10","2019-10-08T16:10Z","DEN","UAS",NA,"FTG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 NM SE of CFO","AIRPORT",NA,NA,NA
5,"Aircraft observed a UAS off the left side while SW bound at 2,400 feet 1 NM NE of FFZ. No evasive action was taken. Mesa PD notified. ","['1 NM NE of XXX']","XXX",NA,NA,NA,"10/13/2019","21:26","2019-10-13T21:26Z","DEN","UAS",NA,"FFZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 NM NE of FFZ","AIRPORT",NA,NA,NA
6,"Aircraft observed a blue and white UAS over the golf course while S bound at 1,200 feet .5 NM S of RWY 19R. No evasive action was taken. Law enforcement notification not reported.","['5 NM S of RWY']","RWY",NA,NA,NA,"10/13/2019","21:45","2019-10-13T21:45Z","DEN","UAS",NA,"RVS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,".5 NM S of RVS","AIRPORT/RUNWAY","RWY 19R",NA,NA
7,"Aircraft observed a small, circular UAS while NW bound at 16,000 feet 15NM SE of OUC. No evasive action was taken. Local LEO notified.","['15NM SE of OUC']","OUC",NA,NA,NA,"11/6/2019","17:17","2019-11-06T17:17Z","DEN","UAS",NA,"NKT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15 NM SE of OUC","AIRPORT",NA,NA,NA
