"dateonly","timeonly","DATE","CALLSIGN","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","REMARKS","MORID.CEDAR","FACILITY.CEDAR","UTCTIME.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR","UASLOCATION","DATASET"
2018-01-08,"02:22","2018-01-08T02:22Z","PTSTU","DEN","UAS",NA,"FLL","Aircraft reported a UAS at 2,500 feet 7 NM W FLL. No evasive action taken. Broward County Sheriff notified 954-764-4357.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 NM W FLL","AIRPORT"
2018-01-13,"04:28","2018-01-13T04:28Z","N3MK","DEN","UAS",NA,"I90","Aircraft reported a white, 2 ft. wide quad copter at 2,000 feet 8 NM W SGR. No evasive action taken. FBI notified at 713-693-5000.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 NM W SGR","AIRPORT"
2018-01-23,"07:03","2018-01-23T07:03Z","RSCUE6046","DEN","UAS",NA,"SAN","Aircraft reported a UAS with flashing lights off theleft side at same altitudeof 200 feet 4 NM NW SAN. No evasive action reported. San Diego PD notified at 619-685-0518. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 NM NW SAN","AIRPORT"
2018-01-25,"00:30","2018-01-25T00:30Z","DAL763","DEN","UAS",NA,"N90","Aircraft reported a UAS while NW bound at 2,000 feet, 8 NM SSE JFK. No evasive action taken. Nassua County PD Aviation Unit notified at 516-573-4000.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 NM SSE JFK","AIRPORT"
2018-02-06,"03:00","2018-02-06T03:00Z","N850PC","DEN","UAS",NA,"SCT","Aircraft reported a red and black UAS flew 500 feet below their Aircraft while Ebound at 3,000 feet, 9 NM E SLI. No evasive action reported. Orange County Sheriff notified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9 NM E SLI","AIRPORT"
2018-02-08,"02:48","2018-02-08T02:48Z","JBU2032","DEN","UAS",NA,"FLL","Aircraft reported a UAS below Aircraft while E bound at 1,000 feet 3-4 NM W FLL. No evasive action taken. Broward County Sheriff notified 954-764-4357.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-4 NM W FLL","AIRPORT"
2018-02-15,"04:29","2018-02-15T04:29Z","N223WY","DEN","UAS",NA,"DLH","Aircraft type SF50. Rreported a UAS off the right side, 500 feet below the Aircraft while E bound at 4,000 feet, 4 NM NW DLH. No evasive action taken. Duluth PD notified via 911. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 NM NW DLH","AIRPORT"
2018-02-15,"22:34","2018-02-15T22:34Z","N792AM","DEN","UAS",NA,"MAF","Reported a black quad-copter operating at 500 feet, 2.1 NM S MAF. No evasive action taken. McAllen PD notified at 956-681-1555.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.1 NM S MAF","AIRPORT"
2018-02-16,"03:35","2018-02-16T03:35Z","N2439Z","DEN","UAS",NA,"BDL","Aircraft reported a UAS pass 100 feet above their Aircraft while W bound at 6,000 feet, 30 NM W BOS. (42.12.05N/71.37.34W) No evasive action taken. MA State PD notified at 508-872-2508.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 NM W BOS","AIRPORT"
2018-02-16,"07:05","2018-02-16T07:05Z","N476AT","DEN","UAS",NA,"PBI","Aircraft reported a 5 bladed UASat 700 feet, 1.5 NM SW PBI. No evasive action taken. Palm Beach Sheriff notified 561-838-5454.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.5 NM SW PBI","AIRPORT"
