"dateonly","timeonly","DATE","CALLSIGN","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","REMARKS","MORID.CEDAR","FACILITY.CEDAR","UTCTIME.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR","UASLOCATION","DATASET"
2018-01-01,"00:58","2018-01-01T00:58Z","JBU351","DEN","UAS",NA,"ZNY","Aircraft reported a UAS off the left side, 3 NM NE of CRI VOR while Sbound at 2,000 feet. No evasive action taken. NYPD Aviation Unit Notified at 718-692-1220. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 NM NE of CRI","NAVAID"
2018-01-06,"04:39","2018-01-06T04:39Z","N738UT","DEN","UAS",NA,"ZMA","Aircraft reported a UAS with red lights pass 500 feet below them heading S bound at 7,000 feet 3 NM NW of TRV vortac. No evasive action taken. Vero Beach Sheriff notified at 772-978-6240.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 NM NW of TRV","NAVAID"
2018-03-19,"03:19","2018-03-19T03:19Z","UJC609","DEN","UAS",NA,"ZDC","Aircraft reported a UAS pass 200 feet below aircraft while W bound at 8,000 feet 15 NM N of ENO VOR. No evasive action taken. Cumberland County PD notified at 856-451-4449.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15 NM N of ENO","NAVAID"
2018-05-03,"03:38","2018-05-03T03:38Z","N11DG","DEN","UAS",NA,"N90","Aircraft observed a UAS 8 NM N of SBJ VOR. No descriptionprovided. No evasive action required. NJState Police notified at 609-963-6817.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 NM N of SBJ","NAVAID"
2018-08-04,"23:46","2018-08-04T23:46Z","RDDL431","DEN","UAS",NA,"DAB","Aircraft reported 3 UAS 100 feet away while S bound at 1,500 feet, 3 NM N of OMN VOR.No evasive action taken. Volusia County Sheriff notified at 386-736-5961.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 NM N of OMN","NAVAID"
2019-01-27,"23:10","2019-01-27T23:10Z","N21SH","DEN","UAS",NA,"SCT","PIC reported UAS 300Ft below at 6000FT 7 NM S of ELB (El Toro VOR). Unable to provide any details. Unable to reach law enforcement. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 NM S of ELB","NAVAID"
2019-02-11,"07:11","2019-02-11T07:11Z","SKW3574","DEN","UAS",NA,"NCT","PIC reported a quad copter UAS pass 200 feetin front of them while SE bound at 10,000 feet 10 NM SE of FMG VOR. No evasive action taken. Washoe County Sheriff notified at 775-334-2161.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 NM SE of FMG","NAVAID"
2019-02-15,"03:43","2019-02-15T03:43Z","N4165U","DEN","UAS",NA,"SJU","SIG ATCT reported aircraft reported a red and black quad rotor UAS off the right side 400 feet below while E bound at 1,000 feet 9 NM W of SJU VOR. No evasive action taken. Fura Aviation PD notified at 787-723-3221. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9 NM W of SJU","NAVAID"
2019-02-25,"02:55","2019-02-25T02:55Z","PHOENIX14","DEN","UAS",NA,"F11","Aircraft reported a fixed wing UAS aboveand totheir left while S bound at 2,500 feet 10 NM E of SFB VOR. No evasive action reported. LEO notification not reported.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 NM E of SFB","NAVAID"
2019-02-25,"05:37","2019-02-25T05:37Z","UAL2148","DEN","UAS",NA,"SCT","Aircraft reported a quad copter UAS off their left side while at 3,000 feet 1.5 NM SW of ELB VOR. No evasive action taken. Orange County Sheriff notified at 949-252-5268.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.5 NM SW of ELB","NAVAID"
