"dateonly","timeonly","DATE","CALLSIGN","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","REMARKS","MORID.CEDAR","FACILITY.CEDAR","UTCTIME.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR","UASLOCATION","DATASET"
2018-03-24,"01:01","2018-03-24T01:01Z","UJC702","DEN","UAS",NA,"ACY","Reported observing a large white UAS operating 1,000 feet below while at 8,000 feet near SIE VOR. No evasive action taken. Unknown if LEO was notified. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SIE VOR","NAVAID"
2018-07-01,"02:06","2018-07-01T02:06Z","N49KJ","DEN","UAS",NA,"MKG","Aircraft reporteda gold UAS northbound 250 feet below while operating at 5,500 in the vicinity of MSG VOR. No evasive action taken. Muskegon County Sheriff notified 231-722-3524. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MSG VOR","NAVAID"
2018-08-10,"18:03","2018-08-10T18:03Z","UAL605","DEN","UAS",NA,"DCA","PIC reported a silver and white UAS 2,000FT below Aircraft off the left side while at 12,000FT VCNTY ARMEL VOR. No evasive action taken. Loudoun County PD notified. No additional information provided.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARMEL VOR","NAVAID"
2019-01-07,"23:32","2019-01-07T23:32Z",NA,"DEN","UAS",NA,"LWB","Individual Thomas Scott Virginia DL# A60422836 of 151 Country Meadows Lane Lewisburg, WVflew a white drone in close proximity to Greenbrier Valley Airport, lost control of the drone and it landed on airport property within 90 feet of the LWB VOR and settled to the ground inside the airport fence. No other aircraft were involved and Mr. Scott called the airport FBO and reported that he had lost his drone on airport property. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LWB VOR","NAVAID"
2019-03-19,"05:06","2019-03-19T05:06Z","N40191","DEN","UAS",NA,"DAL","Reported a red quad-copter moving n bound off the left side of aircraft while N bound at 1,900 feet over the CVE VOR. No evasive action taken. DFW DPS notified at 972-973-3210.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVE VOR","NAVAID"
2019-04-11,"18:11","2019-04-11T18:11Z","NOAA68","DEN","UAS",NA,"ZMA","PIC reported a black and gray quad copter UAS approximately 3 feet in diameter in frontof their aircraft and 500 feet below while N bound at 13,500 feet in the vicinity of MTH VOR. No evasive action reported. FBI notified at 754-703-2000.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MTH VOR","NAVAID"
2019-05-08,"05:12","2019-05-08T05:12Z","N2477J","DEN","UAS",NA,"SCT","PIC reported a UAS at 5,000 feet while N bound at 6,000 feet in the vicinity of OCN VOR, CA. No evasive action reported. LEO was notified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OCN VOR","NAVAID"
2019-05-22,"21:52","2019-05-22T21:52Z","N12442","DEN","UAS",NA,"DPA","Aircraft reported a gray fixed wing UASin VCNTY DPA VOR operating at an altitude of 1500 feet.No evasive action reported. St. Charles PDnotified at 630-377-0911.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DPA VOR","NAVAID"
2019-05-22,"22:19","2019-05-22T22:19Z","N12442","DEN","UAS",NA,"C90","Reported a grey fixed wing UAS 500 feet lateral to aircraft at 15,000 feet in the vicinity of DPA VOR. No evasive action taken. Saint Charles PD notified at 630-377-0911.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DPA VOR","NAVAID"
2019-05-27,"01:48","2019-05-27T01:48Z","UAL601","DEN","UAS",NA,"N90","Reported a UAS from the 12 o'clock position while ENE bound at 8,300feet over ADR VOR. No evasive action taken. Pennsylvania State PD notified at 877-777-6835.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ADR VOR","NAVAID"
2019-06-11,"02:51","2019-06-11T02:51Z","AAL435","DEN","UAS",NA,"ZLC","PIC reported a large fixed-winged UASNE bound2,000 feet belowwhile E bound at FL370 over MLF VOR. No evasive action taken. Beaver County Sheriff notified at 435-387-2758. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MLF VOR","NAVAID"
2019-08-30,"21:49","2019-08-30T21:49Z","N603D","DEN","UAS",NA,"ZDC","Aircraft observed a UAS while SW bound at 11,500 feet in the vicinity of LVL VOR.. No evasive action was taken. Brunswick County Sheriff notified at 434-848-3133.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LVL VOR","NAVAID"
2020-01-25,"22:09","2020-01-25T22:09Z","N29HH","DEN","UAS",NA,"JAX","Aircraft observed a blue UAS 200 feet below them while SW bound at 6,000 feet over CRG VOR. No evasive action was taken. Duvall County Sheriff notified at 904-630-0554.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CRG VOR","NAVAID"
2020-07-08,"14:41","2020-07-08T14:41Z","SPUD24","DEN","UAS",NA,"ZJX","Aircraft observed a UAS while orbiting at 5,000 feet in the vicinity of PZD VOR. No evasive action was taken. Terrell County Sheriff notified at 229-955-4448. 1908 CLOSEOUT: ZJX reports PIC called and advised he took evasive action by turning right and climbing approximately 15 feet.  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PZD VOR","NAVAID"
2021-03-21,"19:32","2021-03-21T19:32Z","M307DM","DEN","UAS",NA,"ZME","Aircraft observed a white UAS 5-10 feet at same altitude, 16,500 feet, directly over CAK VOR. No evasive action was taken. Newcomberstown PD notified at 740-498-6161.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAK VOR","NAVAID"
2021-04-14,"12:27","2021-04-14T12:27Z","N356KA","DEN","UAS",NA,"CLE","Aircraft observed a UAS 30-50 feet off the left side while S bound at 3,500 feet, over the ACO VOR. No evasive action was taken. Portage County Sheriff notified at 330-296-5100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACO VOR","NAVAID"
