"","nm_stand","","nm_cedar1","",""
"Aircraft observed a white UAS off the right side while S bound at 3,000 feet, 8 NM ESE of LAM. No evasive action was taken. LEO not notified.","8 NM ESE of LAM","KFB961 reported a 'narrow miss' with a drone at 030 off the right side, southbound. ",NA,"33.69","-117.93"
"Aircraft observed a small small UAS off the 11 o'clock left side at 1,800 feet, 4 NM final at MOB. Evasive action was taken as pilot reporting a near mid-air. Mobile County Sheriff notified 251-574-8633. JH/AWO notified. ","4 NM ","OPUS21, A C130 CONDUCTING PRACTICE APPROACHES AT MOB, REPORTED HAVING TO TAKE EVASIVE ACTIONS TO THE RIGHT. OPUS21 CONTINUED WITH THE APPROACH.",NA,"NA","NA"
"Aircraft observed a UAS while NE bound at 1,800 feet, 3 NM SW of PIE. Aircraft turned to avoid UAS. Report was made after aircraft landed and no further details given. No other observations or impact to airport operations. Pinellas County Sheriff notified at 727-464-6101. AWO notified. ","3 NM SW of PIE","N194SV reported a drone roughly 3 miles southwest of the field after landing. N194SV turned away from the field and then re-joined the final, then landed without incident.","3 miles southwest","NA","NA"
"Aircraft observed a UAS while west bound at 2,600 feet, 4 NM north of SAV. No evasive action was taken. LEO notified.","4 NM north of SAV","END4689 CRJ9 was at 026 downwind to SAV reported a drone approximately 400 feet below out their window, no direction was given. No evasive maneuvers were necessary. END4689 landed without incident. Chatham County Police were notified. Drone was medium size with black props white in color. Drone position off the SAV VORTAC 350 radial 4 DME. No other pilot reports of drone activity in the area.     ",NA,"NA","NA"
"Aircraft observed a silver and black UAS while at 9,000 feet, 10 NM NW of ORF. No evasive action was taken. VA State PD notified at 757-865-0206. ","10 NM NW of ORF","N425M, LJ45/L, departed ORF and was given direct HPW and a climb to 160. At 2157Z when the aircraft was approximately 10NM NW of ORF while climbing through 9000ft the aircraft reported that a drone ""nearly took his tail off"". No evasive action was taken and the aircraft continued along his filed flight plan route. No targets primary or otherwise were observed anywhere in the vicinity of the reporting aircraft.","10NM NW of ORF","36.9731","-76.43910000000001"
"Aircraft observed a UAS above and off the right side while Northwest bound at 2400 feet, 7 NM direction of BAL. No evasive action was taken. Arundel County Police Department notified at (410)222-8610. BWI will file MOR.","7 NM ","PILOT REPORTED TO LOCAL CONTROLLER ABOUT THE UAS ON FINAL. NO EVASIVE ACTIONS WERE TAKEN. BY THE TIME THE PILOT SAW UAS, FEW DETAILS COULD BE OBTAINED. NO SUBSEQUENT ARRIVALS SIGHTED THE UAS.",NA,"NA","NA"
"Aircraft observed a UAS off the 12 o'clock while south bound at 2,000 feet, 5 NM north of TEB. No evasive action was taken. LEO notified at 609-882-3820.","5 NM north of TEB","EJA676, C680 REPORTED A RED AND WHITE DRONE ON FINAL TO TEB AT 2000 FT.  NO EVASIVE ACTION WAS TAKEN AND LAW ENFORCEMENT WAS NOTIFIED AT NJ STATE POLICE AVAITION UNIT.",NA,"NA","NA"
"Aircraft observed a white UAS 100 feet below them off the right side while SSE bound at 1,700 feet, 7NM W of ORL. No evasive action was taken. LEO was notified.","7NM W of ORL","LXJ377, E55P inbound to ORL on a base leg to final reported seeing a white drone at 016 feet approximately 2 miles north of DNMOR. Pilot took no evasive actions or maneuvers.  Controllers broadcast information to subsequent aircraft SDU153, F2TH, and pilot said they didn't see anything.  ","2 miles north of DNMO","NA","NA"
"(Via MOR) Aircraft observed a white UAS off the front while WSW bound at 1,100 feet, on the left downwind to RWY 7. No evasive action was taken. ATC suspended left downwind traffic. LEO notified. 2000 HQ DEN reached out to ORL and they had resumed normal ATC operations at 1830, minimal impact. AWO advised.",NA,"N55296, C172 in tower touch and go pattern reported a drone on the downwind at 011 feet. No flight adjustment or maneuvers reported. Pilot sounded concerned so the controller temporarily suspended the tower pattern.  Another aircraft inbound from the SE was issued a right downwind entry to avoid the reported position of the drone.  ",NA,"NA","NA"
