"REMARKS","dateonly","timeonly","DATE","CALLSIGN","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","MORID.CEDAR","FACILITY.CEDAR","UTCTIME.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR","DATASET","UASLOCATION","RWYLOCATION"
"ATCT personnel reported observing a large UAS with red, green, and yellow lights hovering at 2,000 and 4,000 feet, 1 NM SW of Shreveport. Shreveport PD notified at.","1/4/2018","10:50","2018-01-04T10:50Z",NA,"DEN","UAS",NA,"SHV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","1 NM SW of SHV",NA
"Reported a UAS 400 feet below off the left side while E bound at 600 feet. 1.5 NM NW of La Verne. No evasive action taken. La Verne PD notified at.","1/15/2018","7:35","2018-01-15T07:35Z","N6522","DEN","UAS",NA,"POC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","1.5 NM NW of POC",NA
"Reported sighting a UAS below the aircraft while WSW bound at 2,600 feet, 4.2 NM N of Phoenix. No evasive action taken. Phoenix PD notified at. ","1/21/2018","6:00","2018-01-21T06:00Z","RAKE06","DEN","UAS",NA,"PHX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","4.2 NM N of PHX",NA
"Pilot observed a 3 foot diameter Quad-copter operating 200 feet above while SE bound at 9,000 feet, 24 NM NE of Atlanta. No evasive action taken. Rockdale County PD notified at.","1/22/2018","1:26","2018-01-22T01:26Z","N31NW","DEN","UAS",NA,"A80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","24 NM NE of A80",NA
"Reported observing a white UAS operating 2 NM S of MCO while on final to R36L at 900 feet. No evasive action taken. Unknown if LEO was notified. ","1/26/2018","23:31","2018-01-26T23:31Z","NKS832","DEN","UAS",NA,"MCO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","2 NM S of MCO",NA
"Reported observing a UAS 1,000 to 2,000 feet below while NW bound at 5,500 feet, 18 NM SE of San Francisco. No evasive action taken. Palo Alto PD notified at. ","1/28/2018","21:30","2018-01-28T21:30Z","UAL400","DEN","UAS",NA,"NCT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","18 NM SE of NCT",NA
"Reported a red quad-copter UAS 4 NM E of LGA at 3,700 feet. No evasive action taken. NTPD was notified (no number provided).","2/4/2018","21:42","2018-02-04T21:42Z","UAL519","NCRCC","UAS",NA,"LGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","4 NM E of LGA",NA
"The aircraft reported observing 3 UAS's at the same altitude operating off of the left wing while Nbound at 5,000 feet, 13 NM NNE of Charlotte. No evasive action taken. Charlotte-Mecklenburg PD notified at. ","2/10/2018","7:20","2018-02-10T07:20Z","JIA5225","DEN","UAS",NA,"CLT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","13 NM NNE of CLT",NA
"Reports observing a black UAS with a red light while Wbound at 4,000 feet passing 500 feet below, 10 NM NW of Palm Beach Airport. No evasive action taken. Palm Beach Sheriff notified at. ","2/11/2018","3:17","2018-02-11T03:17Z","FFT875","DEN","UAS",NA,"PBI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","10 NM NW of PBI",NA
"Reported sighting a white UAS operating over the Miami-Dade College while at 1,800 feet, 7 NM NW of MIA. No evasive action taken. Miami-Dade PD Aviation Unit was notified.","2/12/2018","1:33","2018-02-12T01:33Z","SWR66R","DEN","UAS",NA,"MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","7 NM NW of MIA",NA
"Reported observing a UAS operating 1 NMoff of the left side while Wbound at 2,000 feet, 12 NM E of Santa Barbara. No evasive action taken. Santa Barbara PD notified at. ","2/12/2018","3:21","2018-02-12T03:21Z","N9317","DEN","UAS",NA,"SBA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","12 NM E of SBA",NA
"Reported observing a UAS while at 3,500 feet, 3 NM NE of DVT. No evasive action taken. Unknown if LEO was notified. ","2/12/2018","5:15","2018-02-12T05:15Z","N169ME","DEN","UAS",NA,"P50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","3 NM NE of P50",NA
"Observed a UAS at 5,000 feet, 13 NM SE of Seattle. No evasive action taken. Seattle PD notified via 911. ","2/12/2018","7:22","2018-02-12T07:22Z","DAL1838","DEN","UAS",NA,"S46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","13 NM SE of S46",NA
"Reported observing a black and white UAS while SW bound at 2,000 feet, 10 NM NE of SW Florida International Airport. No evasive action taken. Lee County Sheriff Aviation Department notified at. ","2/13/2018","2:32","2018-02-13T02:32Z","EDV3664","DEN","UAS",NA,"RSW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","10 NM NE of RSW",NA
"Reported observing a black bullet shaped UAS at the same altitude while Ebound at 13,000 feet, 20 NM NW of Yuma MCAS. No evasive action taken. Yuma Sheriff Department notified at. ","2/13/2018","3:48","2018-02-13T03:48Z","MARS71","DEN","UAS",NA,"NYL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","20 NM NW of NYL",NA
"Aircraft type SF50. Rreported a UAS off the right side, 500 feet below the Aircraft while E bound at 4,000 feet, 4 NM NW DLH. No evasive action taken. Duluth PD notified via 911. ","2/15/2018","4:29","2018-02-15T04:29Z","N223WY","DEN","UAS",NA,"DLH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","4 NM NW DLH",NA
"Reported a black quad-copter operating at 500 feet, 2.1 NM S MAF. No evasive action taken. McAllen PD notified at.","2/15/2018","22:34","2018-02-15T22:34Z","N792AM","DEN","UAS",NA,"MAF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","2.1 NM S MAF",NA
"Observed a UAS 100 feet away while WSW bound at 3,900 feet, 10 NM ENE of LAX on the visual approach. No evasive action taken. Los Angeles PD notified at. ","2/18/2018","8:14","2018-02-18T08:14Z","SWA5958","DEN","UAS",NA,"LAX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","10 NM ENE of LAX",NA
