"REMARKS","RUNWAY","DIRECTION","AIRPORT","dateonly","timeonly","DATE","CALLSIGN","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","MORID.CEDAR","FACILITY.CEDAR","UTCTIME.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR","DATASET","UASLOCATION","RWYLOCATION"
"Reported a UAS .25 NM N of their position while on a 1 NM final to RWY 27 at 300 feet. No evasive action taken. Local LEO notified.","['rwy27 ']","['25 NM N', '1 NM ']","[]","1/30/2018","10:11","2018-01-30T10:11Z","NKS787","DEN","UAS",NA,"SAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY",".25 NM N of SAN","RWY 27"
"Aircraftreported a UAS 500 feet off their right side while S bound, descending out of 5,000 feet for RWY 27R, 18 NM NE ORD. No evasive action taken. FBI notified.","['rwy27r']","['18 NM NE']","['27R', 'ORD']","2/19/2018","4:24","2018-02-19T04:24Z","ENY3709","DEN","UAS",NA,"ORD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY","18 NM NE  ORD","RWY 27R"
"ATCT received report of a UAS flying .5 NM N of runways at 800 feet. No aircraft involved. LEO notification unknown.","[]","['5 NM N']","['TCT']","3/1/2018","7:59","2018-03-01T07:59Z",NA,"DEN","UAS",NA,"FAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)",".5 NM N of FAT",NA
"VFR aircraft reported observing a UAS pass within .25 NM S to N at approximately 5,700 feet while on final to RWY 23 at 6,000 feet. No evasive action taken. Incident was not reported to LEO. ","['rwy23 ']","[]","[]","4/21/2018","2:33","2018-04-21T02:33Z","N7425T","DEN","UAS",NA,"SW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY",".25 NM S  SW1","RWY 23"
"Reported responding to two TCAS RA's over an open field while proceeding inbound on final for RWY 09, 6 NM W of FNT. The PIC believes the RA's were for a UAS, although none were observed by either the PIC, or the Michigan State Police helicopter in the vicinity. ","['rwy09']","[]","['FNT']","6/21/2018","7:20","2018-06-21T07:20Z","IRO7552","DEN","UAS",NA,"FNT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY","6 NM W of FNT","RWY 09"
"Reported a UAS on a 6 NM final to RWY 22l. UAS was 1 NM N of current position at 3,000 feet. No evasive action reported. MA State Police notified at.","['rwy22l']","['6 NM ', '1 NM N']","[]","7/3/2018","20:21","2018-07-03T20:21Z","SWA1156","DEN","UAS",NA,"BOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY","1 NM N of BOS","RWY 22"
"PIC reported a white UAS off right side at same altitude while on final RWY 17R at 1,000FT 1 NM NNW Louisville. UAS was operating VCNTY Cardinal Stadium. Louisville PD notified 502-54-2111.","['rwy17r']","['1 NM NNW']","['00F']","7/26/2018","19:21","2018-07-26T19:21Z","UPS2805","DEN","UAS",NA,"SDF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY","1 NM NNW  SDF","RWY 17R"
"PIC reported a quadcopter UAS 0.25 NM E RWY 20 operating at 550FT. No evasive action reported. Jefferson Parish Sheriff Dept notified. No further information provided.","['rwy20 ']","['25 NM E']","['50F']","8/16/2018","3:44","2018-08-16T03:44Z","N93EC","DEN","UAS",NA,"MSY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY","0.25 NM E  MSY","RWY 20"
"Reported observing a white UAS at 2,500 feet, 2 NM S of LGA after departing from RWY 13. No evasive action reported. NYPD Aviation Unit notified at. ","['rwy13 ']","[]","['LGA']","8/20/2018","5:11","2018-08-20T05:11Z","SKW3610","DEN","UAS",NA,"N90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY","2 NM S of N90","RWY 13"
"Observed a black UAS with flashing red lights approximately 200 FT in front of them while on the downwind for RWY 25L, 1.5 NM SE of Phoenix Deer Valley ARPT. No evasive action taken. Phoenix Deer Valley ARPT Air Support unit notified at.","['rwy25l']","['5 NM SE']","[]","8/28/2018","2:22","2018-08-28T02:22Z","MSQT384","DEN","UAS",NA,"P50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY","1.5 NM SE of P50","RWY 25L"
