"index","REMARKS","UAS_Location_Runways","dateonly","timeonly","DATE","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","FACILITY.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","METAR.CEDAR","POTENTIALLYSIGNIFICANT.CEDAR","IFRIVR.CEDAR","AUTHCERT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASREGISTRATIONNUM.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","UASFORMATION.CEDAR","CLOSESTPROXIMITY.CEDAR","UASWEIGHTGT55.CEDAR","UASDIM.CEDAR","UASFWROTOR.CEDAR","PILOTREPORTEDNMAC.CEDAR","TCASRA.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR","DATASET","UASLOCATION","RWYLOCATION"
1564,"Aircraft reported a silver football sized UAS passed directly below from the 12 O'clock position while W bound at 7,500 feet 12.5NMW of IDL. No evasive action reported. Leflore County Sheriff notified 662-453-5141. ","UNKN","1/6/2018","1:47","2018-01-06T01:47Z","DEN","UAS",NA,"ZME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","12.5NMW of ZME",NA
1565,"Aircraft reported a large UAS with green lights 200 feet below them while N bound at 5,000 feet, 26 NM ENE Orlando. No evasive action taken. Brevard County Sheriff notified at 321-455-1475.","UNKN","1/6/2018","4:57","2018-01-06T04:57Z","DEN","UAS",NA,"F11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","26 NM ENE  F11",NA
1567,"Aircraft reported a UAS at 2,500 feet 7 NM W FLL. No evasive action taken. Broward County Sheriff notified 954-764-4357.","UNKN","1/8/2018","2:22","2018-01-08T02:22Z","DEN","UAS",NA,"FLL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","7 NM W FLL",NA
1569,"Aircraft reported a white, 2 ft. wide quad copter at 2,000 feet 8 NM W SGR. No evasive action taken. FBI notified at 713-693-5000.","UNKN","1/13/2018","4:28","2018-01-13T04:28Z","DEN","UAS",NA,"I90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","8 NM W SGR",NA
1,"Aircraft observed a UAS operating 400 feet below off of the left side while eastbound at 600 feet, 1.5 NM NW of La Verne, CA. No evasive action taken. La Verne PD notified at 909-596-1913. ","UNKN","1/15/2018","8:52","2018-01-15T08:52Z","DEN","UAS",NA,"POC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","1.5 NM NW of POC",NA
1572,"Aircraft reported a white UAS on the left side at the same altitude while SW bound at 7,000 feet, 4.5 NM SW El Paso. No evasive action reported. Texas DPS notified 915-849-4080. ","UNKN","1/22/2018","1:25","2018-01-22T01:25Z","DEN","UAS",NA,"ELP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","4.5 NM SW  ELP",NA
1575,"Aircraft reported a UAS with flashing lights off theleft side at same altitudeof 200 feet 4 NM NW SAN. No evasive action reported. San Diego PD notified at 619-685-0518. ","UNKN","1/23/2018","7:03","2018-01-23T07:03Z","DEN","UAS",NA,"SAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","4 NM NW SAN",NA
1576,"Aircraft reported a UAS while NW bound at 2,000 feet, 8 NM SSE JFK. No evasive action taken. Nassua County PD Aviation Unit notified at 516-573-4000.","UNKN","1/25/2018","0:30","2018-01-25T00:30Z","DEN","UAS",NA,"N90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","8 NM SSE JFK",NA
1589,"Aircraft reported a red and black UAS flew 500 feet below their Aircraft while eastbound at 3,000 feet, 9 NM E SLI. No evasive action reported. Orange County Sheriff notified.","UNKN","2/6/2018","3:00","2018-02-06T03:00Z","DEN","UAS",NA,"SCT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","9 NM E SLI",NA
1591,"Aircraft reported a UAS below Aircraft while E bound at 1,000 feet 3-4 NM W FLL. No evasive action taken. Broward County Sheriff notified 954-764-4357.","UNKN","2/8/2018","2:48","2018-02-08T02:48Z","DEN","UAS",NA,"FLL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","4 NM W FLL",NA
1597,"Aircraft reported a UAS pass 100 feet above their Aircraft while W bound at 6,000 feet, 30 NM W BOS. (42.12.05N/71.37.34W) No evasive action taken. MA State PD notified at 508-872-2508.","UNKN","2/16/2018","3:35","2018-02-16T03:35Z","DEN","UAS",NA,"BDL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","30 NM W BOS",NA
1598,"Aircraft reported a UAS 200 feet below and 500 feet lateral from their Aircraft while S bound at 2,500, 5 NM N Concord, CA. No evasive action taken. LEO notification not reported.","UNKN","2/16/2018","4:40","2018-02-16T04:40Z","DEN","UAS",NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","5 NM N  CCR",NA
1599,"Aircraft reported a 5 bladed UASat 700 feet, 1.5 NM SW PBI. No evasive action taken. Palm Beach Sheriff notified 561-838-5454.","UNKN","2/16/2018","7:05","2018-02-16T07:05Z","DEN","UAS",NA,"PBI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","1.5 NM SW PBI",NA
1604,"Aircraft reported a UAS pass behind their aircraft while S bound at 2,500 feet at the same altitude, 2 NM N Fort Myers. No evasive action taken. Lee County PD notified at 239-690-3990.","UNKN","2/19/2018","0:39","2018-02-19T00:39Z","DEN","UAS",NA,"RSW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","2 NM N  RSW",NA
1607,"Aircraft reported a UAS pass within 200 feet under their aircraftwhile at 4,000 feet 4 NM S OAK. No evasive action taken. Alameda Sheriff notified at 510-667-7721.","UNKN","2/19/2018","2:05","2018-02-19T02:05Z","DEN","UAS",NA,"NCT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","4 NM S OAK",NA
1608,"Aircraft reported a UAS off the right side of their aircraft while W bound at 1,500 feet, 3 NM W EWR. No evasive action taken. Ne Jersey State PD notified at 609-963-6817.","UNKN","2/19/2018","2:49","2018-02-19T02:49Z","DEN","UAS",NA,"N90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","3 NM W EWR",NA
1610,"Aircraft reported a small blue and white UAS at the same altitude while at 11,500 feet, 25 NM NE Pensacola, FL. No evasive action taken. Santa Rosa PD notified at 850-983-1100.","UNKN","2/19/2018","3:21","2018-02-19T03:21Z","DEN","UAS",NA,"ZJX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","25 NM NE  ZJX",NA
1611,"Aircraft reported a white quad copter UAS 200 feet below their aircraft while at 2,000 feet, NE bound, 5 NM NE of Naples, FL. No evasive action taken. Lee County PD notified at 239-690-3990.","UNKN","2/20/2018","1:36","2018-02-20T01:36Z","DEN","UAS",NA,"RSW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","5 NM NE of RSW",NA
1612,"Aircraft reported a UAS 100 feet below them while E bound at 500 feet, 2NM E Hollywood, FL. No evasive action taken. Broward County Sheriff notified at 954-764-4357. ","UNKN","2/21/2018","22:44","2018-02-21T22:44Z","DEN","UAS",NA,"FLL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","2NM E  FLL",NA
12,"Aircraft observed a UAS at the same altitude while S bound at 2,000 feet 5NM E of 1MS8 (Columbus AFB AUX Field). Aircraft took evasive action to avoid the UAS. NMM advised 2 Aircraft to climb to avoid the UAS, neither Aircraft observed the UAS. NMM put UAS advisory on ATIS. NMM advised base command. HQ DEN contacted Scooba PD at 662-476-8451, Scooba PD will investigate. ","UNKN","2/28/2018","22:24","2018-02-28T22:24Z","DEN","UAS",NA,"NMM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","5NM E of NMM",NA
13,"Aircraft observed a 20-30 pound UAS pass within 30-40 feet off the right wing while E bound 1NM SE NEW. No evasive action taken. New Orleans Levee DistrictPD notified at 504-283-9800. 1820 NEW advised PIC stated it was a NMAC situation. No other Aircraft observed the UAS. HQ DEN contacted New Orleans Levee DistrictPD, they have a unit in the area investigating.","UNKN","3/1/2018","23:05","2018-03-01T23:05Z","DEN","UAS","PAGED","NEW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","1NM SE NEW",NA
1628,"Aircraft reported a white quad copter UAS 1,000 feet above them while W bound at 2,000 feet, 15 NM SE Cleveland, TX. No evasive action taken. FBI notified at 713-693-5000.","UNKN","3/3/2018","2:49","2018-03-03T02:49Z","DEN","UAS",NA,"I90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","15 NM SE  I90",NA
1629,"Aircraft reported a UAS at 1,500 feet, 2.5 NM SE VQQ. No evasive action taken. UNKN if LEO notified.","UNKN","3/3/2018","3:37","2018-03-03T03:37Z","DEN","UAS",NA,"VQQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","2.5 NM SE VQQ",NA
1631,"Aircraft reported a metallic UAS at 6,500 feet while westbound, 21 NM SE Mesquite,TX. No evasive action taken. LEO notification UNKN.","UNKN","3/3/2018","5:48","2018-03-03T05:48Z","DEN","UAS",NA,"D10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","21 NM SE  D10",NA
