"REMARKS","RUNWAY","DIRECTION","AIRPORT","dateonly","timeonly","DATE","CALLSIGN","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","MORID.CEDAR","FACILITY.CEDAR","UTCTIME.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR","RWYLOCATION","UASLOCATION","DATASET"
"Reported a red quad-copter UAS 2 feet in diameter 200 feet below the aircraft altitude of 3,000 feet while on a 10 NM final to runway 16 at Lackland AFB. No evasive action taken. San Antonio PD notified at7. ","['rwy 16 ']","[]","[]","1/10/2018","5:06","2018-01-10T05:06Z","ALAMO03","NCRCC","UAS",NA,"SAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SAT","EXCEPTION"
"A pedestrian reported observing a UAS hovering 100 to 200 feet off of the ground in the vicinity of 19th Ave, near the fence are off of the departure end of Runway 25L at Deer Valley Airport. Unknown if LEO notification was made. ","['rwy 25l']","[]","[]","1/11/2018","6:58","2018-01-11T06:58Z",NA,"DEN","UAS",NA,"PHX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHX","EXCEPTION"
"Observed a large UAS 50 feet off the left side of the aircraft at the same altitude, stationary or moving slowly in the same direction while Sbound at 2,400 feet on a 4.7 NM final to runway 17C. No evasive action taken. Vance AFB Security Force Operations notified at.","['rwy 17c']","[]","[]","1/12/2018","0:29","2018-01-12T00:29Z","BALL56","NCRCC","UAS",NA,"END",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"END","EXCEPTION"
"Reported a UAS 200 feet above the aircraft and off the right side while WNW bound at 1,000 feet on a 1.5 NM final to runway 30. No evasive action taken. Miami Dade PD notified at.","['rwy 30 ']","[]","[]","1/13/2018","3:01","2018-01-13T03:01Z","UAL1237","NCRCC","UAS",NA,"MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIA","EXCEPTION"
"While at 1,000 feet on a 3 NM final to runway 24, reported a UAS on the right at the same altitude. No evasive action taken. Port Authority PD notified at.","['rwy 24']","[]","[]","1/18/2018","2:36","2018-01-18T02:36Z","EDV3664","NCRCC","UAS",NA,"RSW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSW","EXCEPTION"
"Reported a UAS with a red light on top while on left base for runway 8 at 800 - 900 feet 1 SW of Pensacola. No evasive action taken. No LE notification made.","['rwy 8 ']","[]","[]","1/20/2018","2:06","2018-01-20T02:06Z","N0887L","NCRCC","UAS",NA,"P31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P31","EXCEPTION"
"Reported a UAS of unknown size and color approximately150 feet above the ground while conducting right closed traffic to runway 13R at RHV. No evasive action taken. LE notification not reported.","['rwy 13r']","[]","['13R', 'RHV']","1/26/2018","0:51","2018-01-26T00:51Z","N4927B","NCRCC","UAS",NA,"RHV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RHV","EXCEPTION"
"Reported 2 UAS operating off the departure end of runway 21 at the shoreline. No description of the UAS or altitude reported. No evasive action reported. Santa Monica Police notified on frequency. ","['rwy 21 ']","[]","[]","1/31/2018","21:56","2018-01-31T21:56Z","N683WA","NCRCC","UAS",NA,"SMO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMO","EXCEPTION"
"Reported a UAS, size and color not reported, at 4,000 feet while turning final to runway 20 at Richmond. No evasive action taken. Hanover County Police notified at.","['rwy 20 ']","[]","[]","2/1/2018","1:29","2018-02-01T01:29Z","N80FW","NCRCC","UAS",NA,"PCT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PCT","EXCEPTION"
"Reported a UAS at the same altitude of 600 feeton the left side of the aircraft on a 4 NM final to runway 12. No evasive action taken. Martin County Sheriff notified at.","['rwy 12 ']","[]","[]","2/1/2018","21:59","2018-02-01T21:59Z","EJA374","NCRCC","UAS",NA,"PBI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PBI","EXCEPTION"
"Reported a sliver quad-copter off the left wing while on final to runway 25L. No evasive action reported. LAX Airport Authority notified at.","['rwy 25l']","[]","['LAX']","2/4/2018","22:25","2018-02-04T22:25Z","CPA2091","NCRCC","UAS",NA,"LAX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAX","EXCEPTION"
"Reported a UAS 50 feet below while on final to runway27 at 200 feet. No evasive action taken. LE notification not reported.","['rwy27 ']","[]","[]","2/5/2018","19:43","2018-02-05T19:43Z","GTI34","NCRCC","UAS",NA,"MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIA","EXCEPTION"
"While the aircraft wasE bound at 1,100 feet, reported a flying candle type UAS with red and orange lights off the right side of the aircraft at 500 feet AGL justS of therunway 8 centerline at BUR. No evasive action reported and the aircraft landed without incident. ATCT personnel also observed the UAS from the tower but lost sight of it while working traffic. LAPD Air Support Division notified at. Police10, helo,was in the area andwas notified on frequency and searched for the UAS without success. 0600 HQ DEN followed up with LAPD Air Division and they stated that they were unable to locate the UAS or operator(s) but they are following up on some leads form the day before.","['rwy 8 c']","[]","['BUR', 'TCT', 'DEN']","2/14/2018","10:52","2018-02-14T10:52Z","SWA645","NCRCC","UAS",NA,"BUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUR","EXCEPTION"
"Reported a UAS off the left wing while on final to runway 10R at FL at 1,500 feet. No evasive action reported. LE notified but no contact number provided.","['rwy 10r']","[]","[]","2/18/2018","1:11","2018-02-18T01:11Z","DPJ47","NCRCC","UAS",NA,"FLL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLL","EXCEPTION"
"The aircraft was instructed to enter left traffic to runway 31L at RHV. When the aircraft was mid-field left downwind the PIC reported a UAS off the right side within 100 feet of the aircraft at 1,400 feet. No description of the UAS provided. The PIC reported a NM AC with the UAS and had to take evasive action to avoid the UAS. San Jose PD notified at. Information received by the WOCfrom a DRAthrough the ROC. ","['rwy 31l']","[]","['RHV', 'ROC']","2/18/2018","6:09","2018-02-18T06:09Z","N3180W","NCRCC","UAS","PAGED","RHV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RHV","EXCEPTION"
"Reported a white UAS at the same altitude while on right base to runway 24 at PNE. No evasive action taken. LE notified but no contact number supplied.","['rwy 24 ']","[]","['PNE']","2/21/2018","0:55","2018-02-21T00:55Z","N6NY","NCRCC","UAS",NA,"PHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHL","EXCEPTION"
"Aircraft reportedan 18 - 24 inchUAS from the left side 100 FT below Aircraft while onfinal For Rwy 24R at 400 FT. No evasive action taken. Cleveland PD notified at.","['rwy24r']","[]","['24R']","2/26/2018","1:41","2018-02-26T01:41Z","UAL1809","DEN","UAS",NA,"CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLE","EXCEPTION"
