,IDENT,NAME,LATITUDE,LONGITUDE,ICAO_ID,DECLINATION
0,6TS0,TRUE,34.089220277777784,-101.74046138888887,,5.74941
1,WY47,TRUE,42.85357611111111,-106.33641499999999,,8.90491
2,WA08,Zwainz Farms,47.7134388888889,-117.91998888888891,,14.44256
3,9IN7,Zupancic Fld,39.35472222222222,-86.30694444444444,,-4.69381
4,1TE4,Zuehl,29.495509166666668,-98.15778666666668,,3.68769
5,MT08,Zortman,47.90833333333333,-108.50027777777778,,10.67467
6,60OI,Zorn Acres,41.3567175,-82.62489972222221,,-7.64691
7,1LL8,Zoomer Fld,40.788925,-87.55836166666668,,-3.94821
8,17NR,Zombie Air Force,34.783769444444445,-78.57695555555556,,-9.18619
9,II21,Zollinger Strip,41.47532666666667,-85.6947102777778,,-5.44108
10,9PS0,Zokaites,40.60895611111111,-80.03302916666667,,-9.25516
11,10OH,Zoellner,41.40282777777777,-82.62906638888889,,-7.65211
12,70TA,Zoch,31.193502777777773,-95.89373055555555,,2.39683
13,92MI,Zischke,42.861666666666665,-84.61916666666666,,-6.46793
14,98WA,Zirkle Fruit Company,46.67555555555556,-120.50638888888888,,14.85839
15,UT66,Zion Helicopters,37.17355555555555,-113.34561111111113,,10.99952
16,UT70,Zion Helicopters,37.17898055555556,-113.12252222222222,,10.92947
17,90ME,Zinck,44.523055555555544,-70.54555555555554,,-15.01162
18,NH17,Zim,42.72756666666667,-71.71761111111111,,-14.12294
19,0ID1,Ziggy's,42.64121111111111,-114.60543333333332,,12.38457
20,SN41,Ziggy Carline,37.50416666666667,-94.82666666666668,,1.60204
21,MT51,Zerbe,48.27696583333334,-105.96168027777777,,9.28019
22,ZPH,Zephyrhills Muni,28.228,-82.156,KZPH,-6.09694
23,33MN,Zenith Landing,45.98883888888889,-92.9016,,-0.32298
24,WA72,Zema Private,48.64467777777778,-117.93820555555556,,14.65646
25,5K1,Zelmer Meml Airpark Inc,39.4200475,-89.9912175,,-1.97776
26,IN23,Zeller Elev Company,37.90837555555555,-87.75835472222221,,-3.46635
27,PJC,Zelienople Muni,40.80197222222222,-80.16086111111113,KPJC,-9.20851
28,88NY,Zelazny,43.157836388888896,-78.35835583333333,,-10.82459
29,72OH,Zeigler Landing Strip,41.60449611111111,-83.86771916666666,,-6.80454
